Stock,MAE,MSE,R²
0,0.016529405489563942,0.0005385265103541315,0.9975204467773438
1,0.027097614482045174,0.0011344687081873417,0.9293112754821777
2,0.021442655473947525,0.000716678099706769,0.9908388257026672
3,0.016202665865421295,0.0004536918713711202,0.9313305616378784
4,0.03801349550485611,0.002250439953058958,0.7959092259407043
5,0.022251231595873833,0.0008249554666690528,0.9921340346336365
6,0.031524576246738434,0.001531606656499207,0.9337414503097534
7,0.020738281309604645,0.0007489944691769779,0.9931918978691101
8,0.017290135845541954,0.0005064663710072637,0.9819715023040771
9,0.03913797438144684,0.0024416998494416475,0.9354361891746521
10,0.01406481396406889,0.00028646146529354155,-2.823093891143799
11,0.010874028317630291,0.0002431719476589933,0.9985407590866089
12,0.0217569712549448,0.000773673877120018,0.975111186504364
13,0.023418797180056572,0.0009873425588011742,0.9962222576141357
14,0.03331693261861801,0.0016491421265527606,0.9339240193367004
15,0.018070532009005547,0.00046245360863395035,0.9590189456939697
16,0.006866576615720987,9.59401368163526e-05,0.9993278980255127
17,0.027806183323264122,0.0012270582374185324,0.9440739154815674
18,0.006171044427901506,7.920320058474317e-05,0.9990687966346741
19,0.02584500052034855,0.0010920886415988207,0.9843441843986511
20,0.013350131921470165,0.0002842766116373241,0.9277598261833191
21,0.028933409601449966,0.0012914699036628008,0.8609986305236816
22,0.02745918557047844,0.0011113575892522931,0.9797012209892273
23,0.014284493401646614,0.00037289646570570767,0.9900537729263306
24,0.0029113285709172487,1.6274352674372494e-05,0.9992923140525818
25,0.03487666696310043,0.0018730246229097247,0.9681991934776306
26,0.016621289774775505,0.00042127189226448536,0.945275068283081
27,0.0607433058321476,0.005323787685483694,0.9519587159156799
28,0.04827672243118286,0.0032427911646664143,0.8768768310546875
29,0.029754403978586197,0.0013833452248945832,0.9809253811836243
30,0.011133859865367413,0.0002727311511989683,0.9993278980255127
31,0.013283138163387775,0.00026969777536578476,0.9702608585357666
32,0.018619155511260033,0.0006449086940847337,0.9457509517669678
33,0.02285684645175934,0.0008655182900838554,0.983544111251831
34,0.01683875173330307,0.000442200485849753,0.9828033447265625
35,0.03258850425481796,0.0016057511093094945,0.46447134017944336
36,0.019115202128887177,0.0006366520537994802,0.9836916327476501
37,0.026830388233065605,0.0010130779119208455,0.9650568962097168
38,0.028568318113684654,0.0011923837009817362,0.9793129563331604
39,0.03882821649312973,0.0020992932841181755,0.9597662091255188
40,0.027744948863983154,0.001246331026777625,0.8456955552101135
41,0.015076259151101112,0.0003227377310395241,0.7708262801170349
42,0.019272712990641594,0.000675732153467834,0.9916976690292358
43,0.014626086689531803,0.00038145389407873154,0.9980577230453491
44,0.028586529195308685,0.0011689665261656046,0.9727880358695984
45,0.018794216215610504,0.0005211537354625762,0.7336574792861938
46,0.027941016480326653,0.0012568695237860084,0.9270545244216919
47,0.024058569222688675,0.0008641384774819016,0.9705891609191895
