,0
0,1000000.0
1,999992.096770641
2,999984.4157115591
3,1000005.9267753802
4,999600.4350260077
5,999858.1142004349
6,999801.7083032242
7,1000292.3534313736
8,1000283.4655464239
9,1000275.7516036002
10,1000655.3845294014
11,1000838.726942932
12,1001763.9022298047
13,1001593.6659342755
14,1001108.9962165211
15,1001100.5332453276
16,1001094.8006484226
17,1002152.5533760937
18,1002032.0871224406
19,1000898.8551072588
20,1000293.560741789
21,998105.8248527483
22,998097.7543671821
23,998088.0078727771
24,998050.9219873882
25,999498.2637346156
26,998180.1275856997
27,995383.3438129058
28,993497.9130893351
29,993489.8497117303
30,993481.9595162882
31,996891.5437092223
32,996635.2565529187
33,1000174.3737588521
34,1003655.7427851347
35,1004989.9271057013
36,1004982.1750169086
37,1004974.5234274254
38,1006494.4487726787
39,1008397.3731225879
40,1008353.157424825
41,1005038.8217208729
42,1011145.3350432198
43,1011137.1653105677
44,1011126.4639700048
45,1010377.0911395724
46,1015150.9158994565
47,1017459.0314963757
48,1012959.3617965505
49,1010990.386053732
50,1010982.9598824135
51,1010974.5302663457
52,1014863.5701492645
53,1013272.3335765129
54,1015304.625803872
55,1015295.3547432164
56,1015587.6431514556
57,1015578.8377959998
58,1015567.8271032324
59,1015612.8499930587
60,1016981.8380705991
61,1015083.773983982
62,1020337.0812523076
63,1021872.2234878177
64,1021863.3615520286
65,1021855.3598752539
66,1017731.1521021281
67,1021073.5508397773
68,1019257.4113969011
69,1023335.7138800774
70,1024876.9245779696
71,1024866.0923989962
72,1024856.5988316247
73,1025923.5882930873
74,1030866.0263824988
75,1037825.8153158599
76,1034384.3260021321
77,1037334.3236547937
