Stock,MAE,MSE,R²
0,0.01743241772055626,0.0005728861433453858,0.9973622560501099
1,0.027941115200519562,0.001254543662071228,0.9218294620513916
2,0.02341201715171337,0.0008894377388060093,0.9886304140090942
3,0.015935957431793213,0.0004029522242490202,0.9390103816986084
4,0.031077846884727478,0.0015409203479066491,0.8602550625801086
5,0.02043750323355198,0.0007185849826782942,0.9931482672691345
6,0.039465464651584625,0.0023823718074709177,0.8969366550445557
7,0.0175425224006176,0.0005508342874236405,0.9949930906295776
8,0.01780593767762184,0.0005283128120936453,0.9811938405036926
9,0.045013416558504105,0.0036327282432466745,0.9039428234100342
10,0.008839065209031105,0.000112380032078363,-0.49981582164764404
11,0.009824090637266636,0.00019784722826443613,0.998812735080719
12,0.023492302745580673,0.0008632521494291723,0.9722294807434082
13,0.023531993851065636,0.0009229514980688691,0.9964686632156372
14,0.02257600426673889,0.0008837006753310561,0.9645928740501404
15,0.02075834572315216,0.000656348536722362,0.9418365955352783
16,0.007380267139524221,0.00010629544703988358,0.9992552995681763
17,0.02161918766796589,0.0007104456890374422,0.967619776725769
18,0.008219534531235695,0.0001275299582630396,0.9985005855560303
19,0.029883848503232002,0.00126153533346951,0.9819150567054749
20,0.013690038584172726,0.00029213519883342087,0.9257628321647644
21,0.02752186730504036,0.0011015564668923616,0.8814390897750854
22,0.025976236909627914,0.0011434816988185048,0.9791144728660583
23,0.010371757671236992,0.00017211365047842264,0.9954092502593994
24,0.002032769378274679,8.282777343993075e-06,0.9996398091316223
25,0.023451654240489006,0.0010330209042876959,0.9824610352516174
26,0.0152939073741436,0.0003746035508811474,0.951337456703186
27,0.039484888315200806,0.0028410914819687605,0.974362313747406
28,0.046734604984521866,0.0033427453599870205,0.8730817437171936
29,0.024026673287153244,0.0009073863620869815,0.9874882698059082
30,0.01125278789550066,0.00028012937400490046,0.9993096590042114
31,0.011891508474946022,0.00019729086488950998,0.9782450199127197
32,0.014526492916047573,0.0003432406228967011,0.971126914024353
33,0.026071052998304367,0.001026367419399321,0.9804859161376953
34,0.014551150612533092,0.00031298489193432033,0.9878284335136414
35,0.03464479744434357,0.0019408897496759892,0.3527003526687622
36,0.019012391567230225,0.0005649587255902588,0.9855281114578247
37,0.017669888213276863,0.0005307535175234079,0.9816932678222656
38,0.02935582399368286,0.0013779946602880955,0.9760926961898804
39,0.043012719601392746,0.0028009198140352964,0.9463192820549011
40,0.02419191598892212,0.0009624372469261289,0.8808435797691345
41,0.009531930088996887,0.0001423515350325033,0.8989171981811523
42,0.01569322869181633,0.0004051117575727403,0.9950225949287415
43,0.021403633058071136,0.0008234361303038895,0.9958072304725647
44,0.04075547307729721,0.0024222033098340034,0.9436144232749939
45,0.01277141273021698,0.00027176152798347175,0.861112654209137
46,0.027892617508769035,0.0012123675551265478,0.9296373128890991
47,0.031373392790555954,0.001613686210475862,0.9450783729553223
