Stock,MAE,MSE,R²
0,0.05770080164074898,0.005317977163940668,0.6319433450698853
1,0.056133776903152466,0.00487919058650732,-3.4528393745422363
2,0.04467739537358284,0.002953183138743043,0.4527320861816406
3,0.005098442547023296,4.2433704948052764e-05,0.8787155151367188
4,0.05878365412354469,0.004877282306551933,-5.264759540557861
5,0.013365455903112888,0.0002950758789665997,0.9423362016677856
6,0.057792194187641144,0.004707047715783119,-2.0903213024139404
7,0.03890855237841606,0.0021825034637004137,0.583424985408783
8,0.00355340912938118,2.7928497729590163e-05,0.9858192205429077
9,0.05109024792909622,0.0035814533475786448,-0.5956412553787231
10,0.00359949073754251,1.8582379198051058e-05,-0.9286432266235352
11,0.021158503368496895,0.0006597843603231013,0.9156699776649475
12,0.050655923783779144,0.003996003419160843,-0.8684647083282471
13,0.04076588153839111,0.0021901889704167843,0.8707866668701172
14,0.0524989552795887,0.0037085332442075014,-0.7315853834152222
15,0.007633357308804989,9.706908167572692e-05,0.9089153409004211
16,0.03805016353726387,0.0019981309305876493,0.7088586091995239
17,0.03921686112880707,0.002660086378455162,-0.6945524215698242
18,0.023421769961714745,0.0008518262184225023,0.7531596422195435
19,0.04687776789069176,0.003272137138992548,-0.12625634670257568
20,0.00934465229511261,0.00012878223787993193,0.5268881916999817
21,0.09257867932319641,0.013375845737755299,-18.35700798034668
22,0.0499841533601284,0.0033282760996371508,-0.4165940284729004
23,0.011817716993391514,0.00019614092889241874,0.8086774349212646
24,0.027104848995804787,0.001047323108650744,-0.05186152458190918
