,0
0,1000000.0
1,999990.8270318211
2,999980.6744632728
3,999869.2565649094
4,999267.9940413279
5,999469.7588898507
6,998936.1928039214
7,999662.4869937088
8,999654.5337373326
9,999646.8308291883
10,999568.6084003918
11,1000962.7855983534
12,1001109.729709183
13,1000321.3345227547
14,999665.8826172972
15,999657.6336944222
16,999646.3977249888
17,1000383.5463339104
18,1000332.4610921363
19,998700.013695205
20,998789.2724452635
21,997759.3036969715
22,997750.3872870841
23,997738.6248393091
24,997018.6094811577
25,1000007.5267071525
26,996660.9689962293
27,995931.3708560467
28,994693.3811468953
29,994685.5950369206
30,994676.3689877659
31,996658.7329124062
32,997952.9882198258
33,1001753.6306813452
34,1004953.3610561063
35,1007793.5379138052
36,1007780.8847735139
37,1007772.2611596072
38,1007650.7358764032
39,1008645.6141833595
40,1007227.7797719178
41,1005500.2361981771
42,1011259.7640609306
43,1011248.6048803494
44,1011238.4656952973
45,1011896.2002424387
46,1016826.0426340024
47,1019670.5440468502
48,1008160.3272103025
49,1008669.6262511819
50,1008662.5164799211
51,1008657.3800106577
52,1010391.4433312966
53,1010245.4766736353
54,1012595.704706902
55,1012586.088272897
56,1014255.2965815923
57,1014245.3575537195
58,1014231.6122128421
59,1014272.0389367931
60,1014586.9390973818
61,1013621.4138123555
62,1012904.4710291771
63,1013855.2935535308
64,1013844.5498778814
65,1013834.7595461848
66,1010121.2066746028
67,1011673.6391296192
68,1010053.754800871
69,1018698.5050884798
70,1017026.1846664803
71,1017015.8699124719
72,1017002.5414367983
73,1019455.868579304
74,1021531.65007114
75,1027763.6776540903
76,1027524.1688900084
77,1027967.2128246097
