,0
0,1000000.0
1,999994.9313334761
2,999987.4651710682
3,999983.9190540083
4,999504.2710152594
5,999913.6827269876
6,999864.081035743
7,1000411.8583881364
8,1000405.2022321074
9,1000397.5997582232
10,1000640.3571072136
11,1001237.7963065895
12,1001583.6551635644
13,1000646.2942331387
14,999333.7865815306
15,999326.0786306607
16,999317.1960015167
17,1000580.037812533
18,1000489.1981113821
19,997640.5402281926
20,996097.0577759707
21,993713.0732446274
22,993704.4871676689
23,993695.8053077124
24,992903.4422902421
25,995966.1305925006
26,993259.7446808469
27,989688.7419394522
28,991003.4114782257
29,990995.4829729748
30,990990.1425738812
31,992995.7828312624
32,992837.0939964002
33,996972.1954293237
34,1002057.2335794888
35,1003779.3043798712
36,1003771.8345077813
37,1003762.3778260519
38,1004963.3571183385
39,1006976.4649382957
40,1007412.5999829783
41,1004533.6850944737
42,1011256.9402718102
43,1011249.546316308
44,1011242.7105330292
45,1011592.9405022057
46,1018856.954080196
47,1021039.5215892607
48,1022249.2983290517
49,1022572.9154685332
50,1022562.8724130667
51,1022553.1860230623
52,1026982.9930596052
53,1025544.8296485237
54,1026678.2542110677
55,1026669.8928415775
56,1027074.3134300782
57,1027065.7968009744
58,1027058.0775606529
59,1027129.0487019907
60,1029076.5032397838
61,1028672.3526351335
62,1032532.7077671221
63,1034347.55839773
64,1034338.3302829452
65,1034328.3206640116
66,1026588.7375767338
67,1029921.8168753958
68,1026150.5482967218
69,1033559.9128422224
70,1037014.7428931601
71,1037003.9944968288
72,1036992.1593874965
73,1037837.2171170259
74,1041115.4672632036
75,1046164.1909631822
76,1050885.8566325284
77,1055016.2776428869
