,0
0,1000000.0
1,999991.2099669139
2,999973.5358728122
3,1000196.7027126254
4,999420.9054275601
5,1000404.0354167799
6,999959.5791153463
7,1000827.6468603597
8,1000813.412070694
9,1000796.4020611265
10,1001140.8001238336
11,1002242.8055050183
12,1002385.6964950024
13,1001467.7465371558
14,1000206.4700393876
15,1000192.9665829223
16,1000178.7356529313
17,1002138.7193553878
18,1002510.151635321
19,998511.2675406283
20,993992.6028053917
21,990518.907742434
22,990501.1724439451
23,990485.9987160607
24,990048.7291832984
25,993009.9447975777
26,989246.333650528
27,984018.1677147188
28,984111.0637908306
29,984092.0598507212
30,984077.5045552871
31,986345.9524988927
32,987065.5647756243
33,992045.0557465912
34,999873.933412057
35,1002654.8151202776
36,1002635.7214065554
37,1002614.3740530497
38,1003642.3580446827
39,1006231.7600601469
40,1005902.742558963
41,1002812.9168132006
42,1010046.2138964424
43,1010024.4290931075
44,1010007.1526420759
45,1012438.8660471473
46,1023681.0632515728
47,1028791.4917297722
48,1022619.1721126569
49,1023938.1559981188
50,1023922.9900837058
51,1023906.9691692425
52,1026957.0973853878
53,1028156.5386875034
54,1027922.7304552817
55,1027905.0743317944
56,1028965.2351384058
57,1028943.9606535593
58,1028924.3973472829
59,1029024.7192048413
60,1032820.9777962642
61,1030701.9225296502
62,1031712.4307127502
63,1034417.618442561
64,1034400.0501487518
65,1034381.2484338464
66,1030083.2062582712
67,1034308.0317762393
68,1033529.2268976454
69,1042607.5359940605
70,1045949.8029259231
71,1045933.5691575321
72,1045918.7139313482
73,1046877.2588838018
74,1049785.124841807
75,1062341.7932387353
76,1073409.078065182
77,1077673.6429701545
