,0
0,1000000.0
1,999992.4077412799
2,999983.723746452
3,1000010.7094406661
4,999435.0999466281
5,999943.9998197003
6,999822.8306283036
7,1000501.4277776584
8,1000491.2654362146
9,1000480.7409751543
10,1000884.6668682167
11,1001626.8576339472
12,1001451.6797692911
13,1000649.7869657296
14,999796.2005863049
15,999788.2955195416
16,999779.5677498957
17,1001085.6202359109
18,1001630.5988897702
19,999869.9518369215
20,998754.6492421449
21,996720.3223162382
22,996710.2597848367
23,996701.4893712946
24,995475.0159776172
25,997261.331636543
26,995583.8687646976
27,991946.6385276864
28,990241.2383233845
29,990230.70954144
30,990220.5107954271
31,992380.876005546
32,993457.9543410967
33,997214.6912103608
34,1002098.538198197
35,1004113.2295919022
36,1004104.5719130673
37,1004096.7960795313
38,1004231.792994298
39,1004226.6018104187
40,1003130.8653627554
41,1000065.2226093373
42,1005598.8422932862
43,1005590.4677355901
44,1005581.42957103
45,1006109.0410050758
46,1012104.4631841552
47,1013620.1075035764
48,1012670.0328543107
49,1012612.7641858184
50,1012602.2663232693
51,1012591.5663099783
52,1016347.6417660232
53,1016192.7166235397
54,1016998.839194098
55,1016990.5272640529
56,1017079.6962304411
57,1017070.6085217658
58,1017060.0082661643
59,1015859.0829672646
60,1018398.0380896692
61,1016384.9779705838
62,1016727.2374676261
63,1018757.6011429086
64,1018747.4652965314
65,1018737.5159338308
66,1014467.4479324755
67,1014831.0866855079
68,1013505.5277069637
69,1020012.869307247
70,1022350.7206121896
71,1022338.7477540367
72,1022327.4196231227
73,1024221.756522178
74,1026037.9830698685
75,1031950.9366481989
76,1035122.2554927866
77,1035736.4355459805
