Stock,MAE,MSE,R²
0,0.017031429335474968,0.0005269991816021502,0.9975735545158386
1,0.026338675990700722,0.001101023401133716,0.9313952922821045
2,0.024458013474941254,0.0010697985999286175,0.9863249063491821
3,0.01810343936085701,0.0005028132000006735,0.9238957166671753
4,0.03709416091442108,0.0021362528204917908,0.8062648177146912
5,0.01897847279906273,0.0006687403074465692,0.9936235547065735
6,0.04700476676225662,0.003329967148602009,0.8559429049491882
7,0.02338396944105625,0.0009659899515099823,0.9912194609642029
8,0.018545109778642654,0.0005589645588770509,0.9801027178764343
9,0.036358192563056946,0.0021396188531070948,0.943423867225647
10,0.01002419926226139,0.00017321700579486787,-1.311741590499878
11,0.009949699975550175,0.00019550314755178988,0.998826801776886
12,0.030057033523917198,0.0013296311954036355,0.9572262763977051
13,0.0204843208193779,0.0006356427911669016,0.9975679516792297
14,0.03341018036007881,0.001714519690722227,0.9313045144081116
15,0.024026019498705864,0.0009717808570712805,0.9138840436935425
16,0.0068658096715807915,8.907733717933297e-05,0.9993759393692017
17,0.022433022037148476,0.0007063550292514265,0.9678062200546265
18,0.007701568771153688,0.00010658695100573823,0.9987468123435974
19,0.021591709926724434,0.0007519526989199221,0.9892202615737915
20,0.015194525942206383,0.00037577582406811416,0.904508113861084
21,0.036227334290742874,0.0018704498652368784,0.7986828088760376
22,0.04047027975320816,0.002294615376740694,0.9580892324447632
23,0.012430674396455288,0.0002322539803571999,0.9938051104545593
24,0.0026494101621210575,1.281383720197482e-05,0.9994427561759949
