,0
0,1000000.0
1,999997.005946517
2,999994.011893034
3,1000010.5061268806
4,999884.1020150976
5,1000041.0263514462
6,1000004.5471987898
7,1000283.2075504485
8,1000280.6201700239
9,1000278.2325863643
10,1000253.2323743992
11,1000410.857362073
12,1000342.3505555802
13,1000395.7054999764
14,999970.4561106631
15,999969.2018778989
16,999967.9476451346
17,1000177.714249737
18,999958.8457922303
19,999430.0668341866
20,999471.898955458
21,999351.2933180268
22,999350.4097604112
23,999347.5972340216
24,998904.5664983799
25,999293.8247644742
26,998033.2509252355
27,997503.2508359497
28,998157.608160806
29,998157.3292915467
30,998156.188721979
31,998143.1537724975
32,998799.7084255432
33,1001595.1971709355
34,1001550.8384135028
35,1002928.9273775792
36,1002925.8371683053
37,1002923.2449774654
38,1002836.6452150762
39,1003442.9043265998
40,1003490.9052080436
41,1003463.311693482
42,1005412.9391248123
43,1005410.4731243631
44,1005405.6220577185
45,1004691.2595938728
46,1005931.7626766522
47,1005150.5801892836
48,1005932.1760067303
49,1006278.804870874
50,1006277.1049589923
51,1006275.7979834888
52,1006698.2996586043
53,1005538.140142578
54,1007137.9603478527
55,1007135.2496478541
56,1007034.0442001859
57,1007032.670710536
58,1007031.2163681894
59,1007211.3131997277
60,1006864.9836562974
61,1007834.2218468678
62,1006359.7010100448
63,1006487.5489379137
64,1006485.4976349901
65,1006482.7399104503
66,1004787.8925058588
67,1004698.8153335997
68,1003795.3518363691
69,1010797.860227584
70,1011150.611837489
71,1011149.160883176
72,1011146.5649536742
73,1014685.9822866083
74,1016790.7685941609
75,1017178.5474345835
76,1017050.0643397655
77,1017830.1173588764
