Stock,MAE,MSE,R²
0,0.019649405032396317,0.0008561668219044805,0.99605792760849
1,0.026099402457475662,0.001100029214285314,0.9314572215080261
2,0.032177701592445374,0.001502763363532722,0.980790376663208
3,0.014194541610777378,0.0003163070941809565,0.9521247148513794
4,0.03695255145430565,0.0020465522538870573,0.8143996596336365
5,0.01904006116092205,0.0006482201279141009,0.9938192367553711
6,0.03862550109624863,0.002444963436573744,0.8942289352416992
7,0.025024862959980965,0.0010048632975667715,0.9908661246299744
8,0.0192709993571043,0.0005902374978177249,0.9789894819259644
9,0.05429130420088768,0.004402617923915386,0.8835853338241577
10,0.011571459472179413,0.0002025434805545956,-1.7031304836273193
11,0.013846350833773613,0.00039287953404709697,0.9976423382759094
12,0.021871265023946762,0.0008906948496587574,0.9713466763496399
13,0.030545789748430252,0.0013636128278449178,0.994782567024231
14,0.025036156177520752,0.0009567004162818193,0.9616680145263672
15,0.019764652475714684,0.0006528556696139276,0.9421461224555969
16,0.006009270437061787,6.752961780875921e-05,0.9995269179344177
17,0.02859063260257244,0.0013467929093167186,0.9386166930198669
18,0.007928434759378433,0.00010936712351394817,0.9987141489982605
19,0.033622123301029205,0.0016005993820726871,0.9770543575286865
20,0.011964271776378155,0.0002154971589334309,0.9452380537986755
21,0.031171560287475586,0.0014740765327587724,0.8413446545600891
22,0.034341368824243546,0.0016864538192749023,0.9691972136497498
23,0.016477055847644806,0.0004213949723634869,0.988760232925415
24,0.004112054593861103,2.7590156605583616e-05,0.9988002181053162
25,0.029336078092455864,0.0012627561809495091,0.9785605072975159
26,0.017338743433356285,0.0004920762148685753,0.9360772967338562
27,0.03858443349599838,0.002221875125542283,0.9799500107765198
28,0.04336126893758774,0.0027453922666609287,0.8957622051239014
29,0.02335759811103344,0.0008424943080171943,0.9883830547332764
30,0.010270301252603531,0.0002120405260939151,0.9994774460792542
31,0.019065022468566895,0.0005055665969848633,0.9442519545555115
32,0.020812271162867546,0.0005886058788746595,0.9504870772361755
33,0.028911642730236053,0.0013836472062394023,0.9736930131912231
34,0.023714762181043625,0.000820071785710752,0.9681084156036377
35,0.030202915892004967,0.001456507365219295,0.5142450928688049
36,0.023382732644677162,0.0008770655258558691,0.977533221244812
37,0.018801730126142502,0.0005286944797262549,0.9817642569541931
38,0.02572708949446678,0.0011315977899357677,0.9803675413131714
39,0.043241966515779495,0.0026190595235675573,0.9498047232627869
40,0.028335483744740486,0.0012509172083809972,0.8451277017593384
41,0.011301427148282528,0.00020405968825798482,0.8550987243652344
42,0.02336164377629757,0.000874707184266299,0.9892529845237732
43,0.018677489832043648,0.0005574927199631929,0.9971613883972168
44,0.03470093011856079,0.0018029476050287485,0.9580298662185669
45,0.014096470549702644,0.000307909504044801,0.8426387906074524
46,0.028284667059779167,0.0012460644356906414,0.9276816248893738
47,0.028376102447509766,0.0012467914493754506,0.9575656056404114
