,0
0,1000000.0
1,999992.4513967814
2,999977.3822160731
3,1000030.3845679176
4,999043.7489979155
5,1000171.3640584919
6,1000186.8683177696
7,1001511.9580910389
8,1001499.2732817719
9,1001488.1452816809
10,1002015.6363295959
11,1002805.7761735511
12,1004400.1669487786
13,1003928.9303873589
14,1002139.9086352447
15,1002127.8320238588
16,1002116.7804316946
17,1003838.6834824028
18,1003491.7885502942
19,1000174.4480320147
20,996455.3212949227
21,992138.4521208465
22,992125.5862653307
23,992112.8075500192
24,991048.3716956213
25,994468.5898327196
26,989056.8057979486
27,984657.8513700586
28,983336.1056065024
29,983322.38430653
30,983308.3319250484
31,985151.0121918905
32,984973.1069947517
33,992308.7539554685
34,1001277.9901469178
35,1004216.8580500302
36,1004205.9580553691
37,1004192.4500791742
38,1006733.0007845935
39,1008126.724796184
40,1008149.3952414319
41,1002706.6077769259
42,1013253.8283130445
43,1013238.554437539
44,1013225.0066471124
45,1014312.7947216698
46,1028464.8105419872
47,1032731.839908606
48,1027582.7185117978
49,1027726.9877726488
50,1027716.0461788443
51,1027704.6009865514
52,1032447.7129370695
53,1032767.6432257997
54,1032980.4347747178
55,1032966.8237532004
56,1032200.6314814481
57,1032189.4818284187
58,1032175.7379486887
59,1030486.8873938954
60,1035128.6168941053
61,1032067.6908453134
62,1031930.8513409379
63,1038256.8670313123
64,1038243.4402615288
65,1038227.3998911337
66,1030179.2270684033
67,1034516.7378078238
68,1034580.6185527281
69,1047514.0354475253
70,1050091.2458189433
71,1050072.9477369515
72,1050060.8920280237
73,1050316.9611916556
74,1054490.7983585456
75,1069649.1468013206
76,1076616.8503115864
77,1081784.1010831154
