,0
0,1000000.0
1,999998.6760786726
2,999996.3200527601
3,1000004.1719628148
4,999732.6950305911
5,999981.9886604425
6,999923.3537467761
7,1000439.2007912254
8,1000434.4325115349
9,1000429.8104878141
10,1000404.3187101991
11,1000729.9897933177
12,1000847.4284427583
13,1000725.7247845953
14,1000002.4964085979
15,999998.5022825544
16,999993.30993736
17,1000168.2894823521
18,999581.7462829268
19,998754.6429784981
20,998447.2208697223
21,997436.3647459082
22,997431.6125307573
23,997426.5998484137
24,997317.6122789114
25,998094.7105101802
26,996077.3340513484
27,994608.2689166454
28,995412.0463820384
29,995411.3352309264
30,995406.0921879294
31,996274.170447539
32,996756.4303883621
33,1000005.9032014245
34,1001947.1267230188
35,1002844.4959557565
36,1002841.621159734
37,1002838.9390861798
38,1004096.5014879209
39,1005996.2116174501
40,1006505.841582368
41,1005672.9250705016
42,1009605.1969573773
43,1009599.6094047076
44,1009592.7961175239
45,1007984.7468285303
46,1010995.4772697769
47,1011549.512204481
48,1010928.6998239057
49,1010762.3911834018
50,1010757.0868359165
51,1010753.0116375554
52,1012559.6654496246
53,1011198.5060363326
54,1013085.3165847528
55,1013079.9142304676
56,1011979.9086886349
57,1011976.5505411997
58,1011971.4903912842
59,1011675.8364849042
60,1011512.0193325373
61,1010883.4626959275
62,1010174.2936716598
63,1010875.1225826483
64,1010869.8061686944
65,1010866.4004909333
66,1007726.3874468716
67,1010692.0435723565
68,1008666.0941109991
69,1016305.9069505594
70,1017777.327387997
71,1017775.2578515568
72,1017772.2381092721
73,1018112.6029799992
74,1021165.8518447449
75,1024427.7142951248
76,1024925.6483880668
77,1025966.5541922703
