Stock,MAE,MSE,R²
0,0.018212834373116493,0.0006591343553736806,0.9969651103019714
1,0.04122093319892883,0.0023524812422692776,0.8534169793128967
2,0.01749899983406067,0.0006030062795616686,0.9922918677330017
3,0.016812561079859734,0.0004270489444024861,0.9353631734848022
4,0.03569359332323074,0.0018979781307280064,0.8278737664222717
5,0.02162202075123787,0.0007156390929594636,0.9931763410568237
6,0.035191480070352554,0.0019981255754828453,0.9135594964027405
7,0.019963188096880913,0.0005840035155415535,0.9946916103363037
8,0.018519077450037003,0.0005247631925158203,0.9813202023506165
9,0.04497939348220825,0.0030019665136933327,0.9206215739250183
10,0.008738934062421322,0.0001246336760232225,-0.6633520126342773
11,0.009869600646197796,0.00018155385623686016,0.9989104866981506
12,0.022091127932071686,0.0007939060451462865,0.9744603633880615
13,0.035123568028211594,0.0018538163276389241,0.9929069876670837
14,0.030151894316077232,0.0014720156323164701,0.9410209059715271
15,0.01783699356019497,0.0005058984970673919,0.9551689624786377
16,0.007728180382400751,0.00011918060044990852,0.9991650581359863
17,0.029528098180890083,0.0013164900010451674,0.9399978518486023
18,0.006477027200162411,7.381947943940759e-05,0.9991320967674255
19,0.0261310376226902,0.0010729394853115082,0.9846187233924866
20,0.019245101138949394,0.0005211897077970207,0.8675556778907776
21,0.028338618576526642,0.001373767969198525,0.8521409034729004
22,0.026625066995620728,0.001061300397850573,0.980615496635437
23,0.012494277209043503,0.0002734613954089582,0.9927060008049011
24,0.0024490500800311565,1.357111796096433e-05,0.9994098544120789
25,0.03257165104150772,0.0016064249211922288,0.9727256298065186
26,0.02383749559521675,0.0008761099306866527,0.8861898183822632
27,0.034645237028598785,0.0018788514425978065,0.9830454587936401
28,0.06341943889856339,0.005634631495922804,0.7860628366470337
29,0.02354363538324833,0.0008281451882794499,0.9885808825492859
30,0.014121981337666512,0.0003686758573167026,0.9990914463996887
31,0.011111639440059662,0.00020575876988004893,0.9773113131523132
32,0.015425714664161205,0.0003922274918295443,0.9670062065124512
33,0.029231159016489983,0.0013245977461338043,0.9748157262802124
34,0.018454788252711296,0.0005660232855007052,0.977988064289093
35,0.03209979459643364,0.0016101759392768145,0.46299564838409424
36,0.01778646558523178,0.0005040764226578176,0.9870876669883728
37,0.015323587693274021,0.00034464988857507706,0.9881123304367065
38,0.0242758858948946,0.0009329073945991695,0.9838146567344666
39,0.04235776141285896,0.002540291752666235,0.9513143301010132
40,0.02900380641222,0.0012335868086665869,0.8472733497619629
41,0.009495980106294155,0.0001564398262416944,0.8889132142066956
42,0.020649099722504616,0.0006926641799509525,0.991489589214325
43,0.017321091145277023,0.0005374913453124464,0.9972631931304932
44,0.023183763027191162,0.0009352601482532918,0.9782284498214722
45,0.013382171280682087,0.0002665358770173043,0.8637832999229431
46,0.027251631021499634,0.0010665594600141048,0.9380996227264404
47,0.02341667003929615,0.0009118652669712901,0.9689647555351257
