Stock,MAE,MSE,R²
0,0.015273152850568295,0.0004680001875385642,0.9978451728820801
1,0.034720681607723236,0.0018789580790326,0.8829221725463867
2,0.021363835781812668,0.0006502741598524153,0.9916876554489136
3,0.016605360433459282,0.000408453110139817,0.938177764415741
4,0.03419233113527298,0.0019489305559545755,0.8232529163360596
5,0.01517308410257101,0.00036049660411663353,0.996562659740448
6,0.03271348401904106,0.0015194995794445276,0.9342651963233948
7,0.02332356758415699,0.0008517128298990428,0.9922582507133484
8,0.01930304244160652,0.0005521045532077551,0.9803469181060791
9,0.033990658819675446,0.0016722939908504486,0.9557809233665466
10,0.010190814733505249,0.0001542467507533729,-1.0585660934448242
11,0.008948290720582008,0.00015014351811259985,0.9990990161895752
12,0.018446119502186775,0.000559166248422116,0.9820118546485901
13,0.021995341405272484,0.0007811472751200199,0.9970111846923828
14,0.02947274036705494,0.0012354282662272453,0.9505002498626709
15,0.01726570352911949,0.0004554089973680675,0.9596431851387024
16,0.006869552191346884,9.772810153663158e-05,0.9993153214454651
17,0.027282405644655228,0.0011660866439342499,0.9468528032302856
18,0.006971094291657209,8.754122245591134e-05,0.9989707469940186
19,0.03449510782957077,0.0018777595832943916,0.973081111907959
20,0.01169617846608162,0.00021962470782455057,0.9441891312599182
21,0.033806268125772476,0.0017267389921471477,0.8141505122184753
22,0.026860076934099197,0.0011831211159005761,0.9783904552459717
23,0.01724112406373024,0.00045969869825057685,0.9877385497093201
24,0.001847186591476202,6.615005986532196e-06,0.999712347984314
