,0
0,1000000.0
1,999996.2089416605
2,999990.670320375
3,1000087.2816278847
4,999092.5570037392
5,1000590.2394262383
6,1000555.7277954817
7,1002262.7619078464
8,1002257.2634453411
9,1002245.9220681418
10,1002158.4788432178
11,1003576.1922292052
12,1005049.3851004266
13,1003958.1855884776
14,1001447.1238799413
15,1001438.8320709375
16,1001432.5615834481
17,1003866.7240381934
18,1004308.210953109
19,998841.6171382255
20,992660.1078408755
21,985882.3137384495
22,985876.4133422222
23,985869.2746958195
24,984290.7760420176
25,990199.9138302581
26,985260.1806687869
27,979161.4221331681
28,979826.8332842846
29,979817.1801478791
30,979809.4624617
31,979450.6395450255
32,981893.8963387749
33,989749.6184954017
34,1002646.7706238999
35,1006905.3685715462
36,1006898.0739483054
37,1006888.1007552019
38,1008189.6863042748
39,1009622.2111498746
40,1008028.7029870574
41,1000208.4618278213
42,1013586.1311012532
43,1013571.6256205415
44,1013561.8033679583
45,1016721.4658804779
46,1035926.6902137629
47,1041673.9499308286
48,1041228.358856531
49,1043732.4043094595
50,1043720.8396522274
51,1043708.380030945
52,1050396.7937387545
53,1051290.8217214663
54,1048117.9454555104
55,1048108.6104872321
56,1048437.0851404258
57,1048424.5636240157
58,1048410.6849817239
59,1046550.2240597755
60,1056456.1960021814
61,1054077.1322908425
62,1050775.3856727502
63,1054027.8962289568
64,1054017.201206419
65,1054001.665389496
66,1041599.755323735
67,1042870.7869595524
68,1042922.2863189583
69,1054260.024683085
70,1058011.9410425622
71,1057998.254841386
72,1057984.997805056
73,1059611.1335011795
74,1059877.9047798908
75,1071694.1140505804
76,1086545.1975599534
77,1091497.658560492
