,0
0,1000000.0
1,999982.3340837882
2,999959.2527416318
3,999499.6140602841
4,997918.1878367859
5,998562.5653903253
6,998571.8351445675
7,1000590.1194342399
8,1000567.4166631426
9,1000541.7748418223
10,1001444.8542122794
11,1003088.4720475853
12,1004188.3116684547
13,1001766.4769588447
14,1001039.658544914
15,1001011.8354152062
16,1000984.9375249258
17,1004383.396811076
18,1004847.0934569378
19,999144.5434260052
20,996732.7703289768
21,991300.3299570107
22,991272.5073427832
23,991245.198692073
24,988160.4194846323
25,993972.9392646818
26,987314.1453020339
27,980313.9512800302
28,975859.0239492948
29,975836.3409429472
30,975813.6178834572
31,987067.3933332846
32,989966.5929948274
33,996362.9770793295
34,1012678.6892056798
35,1023468.8672135992
36,1023437.2126229528
37,1023406.2708913628
38,1022506.5677243692
39,1023296.2851619927
40,1020831.6584221788
41,1012635.5427075624
42,1027184.7563871265
43,1027161.1868939763
44,1027136.2554341345
45,1028007.9055166885
46,1047706.9284510664
47,1053145.2636781246
48,1059042.4135863925
49,1061976.6036498598
50,1061950.6874032086
51,1061917.1620612156
52,1073860.305330596
53,1069328.0755731515
54,1069455.520373566
55,1069426.3036378587
56,1071776.0168972742
57,1071751.8239089928
58,1071726.653132272
59,1070127.5481185676
60,1071153.057441492
61,1076183.856582423
62,1091227.883384601
63,1103613.9123681956
64,1103603.2377765668
65,1103591.5676475787
66,1092875.2026274295
67,1088799.3108009282
68,1089261.289945807
69,1107355.6549321
70,1111852.0110378067
71,1111846.723303565
72,1111845.5875714489
73,1119097.8248061608
74,1128560.1546327777
75,1151447.8466539318
76,1163417.0849080298
77,1166653.6404894155
