,0
0,1000000.0
1,999997.5087952423
2,999995.2708232879
3,999947.8864481627
4,999707.3994280769
5,999745.5415645007
6,999776.4180972482
7,999956.0494523505
8,999956.2271956328
9,999954.8060405313
10,1000032.2063604444
11,1000087.393234919
12,1000163.2635232456
13,1000160.5721794204
14,999828.9408672522
15,999827.1798398508
16,999824.5988352344
17,999876.847977376
18,999609.834581383
19,998976.3495569426
20,998487.5115688472
21,997880.6305110018
22,997876.7606003617
23,997871.1326291049
24,997755.5180285706
25,998021.4304736733
26,997085.882668952
27,996275.4038386688
28,996403.3754971424
29,996400.9705497994
30,996397.2178055743
31,997306.6186623592
32,997895.2438651888
33,1000698.8074975472
34,1002552.4551147512
35,1002973.3847037882
36,1002972.6281292608
37,1002971.2978657882
38,1003566.4817442548
39,1004866.2068328558
40,1005339.4478559669
41,1005068.4082605253
42,1007685.1794664469
43,1007681.3795990583
44,1007677.5080119964
45,1006885.9203134342
46,1008785.6528856381
47,1009122.9507197065
48,1010329.7112025805
49,1010285.5938005481
50,1010285.061713973
51,1010282.9891365493
52,1011562.5861404148
53,1010812.8221970432
54,1011706.5600774352
55,1011701.1342655943
56,1010782.3781600698
57,1010780.3828092726
58,1010777.3486495799
59,1010545.9373997535
60,1010800.6892317224
61,1009922.8057128082
62,1010331.8200688502
63,1011160.4619883185
64,1011156.7996949762
65,1011154.716557215
66,1009178.4382201332
67,1012829.3660448227
68,1011306.9106445567
69,1013725.5122624362
70,1015320.1842122988
71,1015319.2367711273
72,1015317.9080258082
73,1013668.4131898747
74,1016075.6082104886
75,1020024.3632901225
76,1019535.1788948026
77,1018760.206007839
