,0
0,1000000.0
1,999986.3118609013
2,999973.537698443
3,999643.184545594
4,998660.835822852
5,999351.8341918207
6,999654.5063545682
7,1000607.066315455
8,1000595.4478875827
9,1000582.3377069887
10,1001053.5413231974
11,1002242.5370914133
12,1002364.7714636351
13,1001213.368958446
14,1000113.786839236
15,1000102.8323347651
16,1000088.7768915344
17,1001900.5409918423
18,1002111.307231539
19,997787.8720420602
20,994181.9338947041
21,989205.746484265
22,989194.4631379076
23,989181.8115655258
24,986836.8621457918
25,990134.0811098127
26,985014.7170357425
27,981495.1731902193
28,976047.0645500297
29,976037.4798884101
30,976026.2515355769
31,979873.4460852055
32,981222.176210946
33,986538.7745054013
34,998491.2791969004
35,1001636.3353905813
36,1001622.5389134076
37,1001608.8970265021
38,1002062.2017623675
39,1002590.3385680798
40,998845.1286029746
41,991234.2630066761
42,1001996.9164059395
43,1001984.7574377256
44,1001971.5440414428
45,1004857.5049674163
46,1019884.9203179908
47,1026714.9285213979
48,1013885.6799086418
49,1016697.8807992906
50,1016685.276343376
51,1016672.8365514528
52,1021324.5712953223
53,1023380.3601197039
54,1022810.2988275872
55,1022794.5277222234
56,1024153.8426268748
57,1024137.7539198638
58,1024126.8760154112
59,1022496.9078796313
60,1028407.9104236577
61,1025205.957891115
62,1028541.9678585723
63,1036663.3644032243
64,1036647.9130995742
65,1036631.7282127931
66,1028866.3262106635
67,1033415.6295712981
68,1035297.9174959401
69,1048349.4614281398
70,1050998.554127575
71,1050980.5186853642
72,1050962.6269487527
73,1045757.7059002256
74,1047990.5103480634
75,1069170.432993896
76,1089676.673291965
77,1086175.2606045927
