,0
0,1000000.0
1,999994.1522923083
2,999993.1289299931
3,999374.4683377035
4,998470.7570204702
5,998579.4728198618
6,999114.3571668882
7,999835.747817235
8,999835.0347776175
9,999828.2003826817
10,1001326.94029031
11,1003032.2438250681
12,1001944.6550178161
13,1000361.3790607271
14,998319.6620970396
15,998311.6151666525
16,998307.8032589442
17,1001702.7537954564
18,1002049.3231834386
19,996581.4864730064
20,993134.6581819277
21,986349.1823649993
22,986341.8715389029
23,986338.8639547669
24,978296.6371055935
25,983084.6396400058
26,971373.3591848895
27,965239.1302087608
28,964433.3304101123
29,964430.3078357801
30,964426.9346354381
31,971846.0707415687
32,976724.1758553332
33,984186.3125339673
34,999751.7153509515
35,1004259.4756312738
36,1004249.6463978427
37,1004233.3568181397
38,1003424.5056201875
39,1008186.8361412209
40,1003174.2885878597
41,994544.1188079871
42,1009454.923655101
43,1009445.1858841326
44,1009444.0465583254
45,1009051.2724875541
46,1028839.3095120874
47,1040729.1031809087
48,1046164.7907445201
49,1051441.479083857
50,1051425.659295783
51,1051420.348169581
52,1061051.0768295685
53,1056716.2382126008
54,1055129.087915325
55,1055120.8829422565
56,1057432.6096503176
57,1057418.5784781957
58,1057410.1825896362
59,1056622.3318827124
60,1063102.636450496
61,1063274.0378979093
62,1066202.6779330694
63,1067165.4494056487
64,1067152.6984793274
65,1067144.3051772895
66,1053473.265828629
67,1057241.1877291831
68,1052681.7163165063
69,1068462.6252919952
70,1076116.1124690392
71,1076104.4831223604
72,1076095.3581468374
73,1083888.182832721
74,1083201.8215081834
75,1099085.9314708712
76,1121665.6122321268
77,1126669.0296757957
