,0
0,1000000.0
1,999985.8362580829
2,999962.9896504871
3,999915.0912884844
4,996319.91638422
5,998377.6485164817
6,998905.2990713842
7,1002439.5303888094
8,1002412.8097349588
9,1002390.3020229951
10,1002017.4623248465
11,1005198.3278305373
12,1006638.1913375183
13,1002471.2677364852
14,997577.9126457685
15,997557.5162306108
16,997539.4198221205
17,1004238.8353695318
18,1004878.1256096757
19,991605.0408708866
20,981569.6904613855
21,971643.0195131168
22,971627.0718384946
23,971610.82609798
24,969149.0879736553
25,978645.2648142265
26,963844.744869944
27,948542.8137407714
28,942933.0244157432
29,942921.2413799027
30,942906.4477197606
31,951359.2319952751
32,956916.2019578349
33,975361.0446881709
34,1003235.4878349713
35,1024265.4378838271
36,1024240.9309620906
37,1024222.4393153164
38,1027142.5386778358
39,1032062.5018391374
40,1032438.9054077108
41,1018036.5949037013
42,1047703.9415298225
43,1047681.1813981461
44,1047655.1600469761
45,1053560.3341704034
46,1092221.9609037307
47,1097585.257412521
48,1094547.948762463
49,1100165.8943604787
50,1100125.3388744583
51,1100101.4267938207
52,1115183.5214741395
53,1106164.618201316
54,1107714.6996881815
55,1107688.4404142913
56,1110175.4192532306
57,1110142.6435710825
58,1110108.0712428875
59,1109926.7811856538
60,1118442.1295248915
61,1120507.4613904343
62,1120529.0813104457
63,1132788.9307013436
64,1132759.2617336144
65,1132725.5172917296
66,1110469.212724822
67,1112120.0546158082
68,1110159.2392973346
69,1139455.2180823216
70,1149286.9524817602
71,1149261.5574665759
72,1149234.113896817
73,1165815.8589751793
74,1176346.1649496458
75,1203346.7047980311
76,1226460.4445840046
77,1228729.2565718736
