,0
0,1000000.0
1,999996.1970536129
2,999991.1454965
3,1000125.3768847835
4,999747.3780774338
5,1000056.0555035282
6,1000157.5770562475
7,1000849.4596321172
8,1000843.8765407557
9,1000838.4242374924
10,1001069.487683911
11,1001385.4507913935
12,1001770.3092012304
13,1001721.720329597
14,1000653.6476475422
15,1000647.7188711463
16,1000642.3378293088
17,1000797.7819958224
18,1000181.2035421734
19,998744.7799002603
20,997563.8115924726
21,995937.5451221253
22,995934.1438542024
23,995930.3999305604
24,995623.411051556
25,996961.4932439338
26,994058.7055314215
27,991414.1343554899
28,990945.8126399376
29,990940.5366945005
30,990936.3903816029
31,993769.8258870727
32,995058.2474799535
33,1000448.3008292817
34,1004173.3936437591
35,1005194.9146054254
36,1005189.7616355432
37,1005184.8331668489
38,1005971.0853540497
39,1008757.3230612542
40,1009533.6432435912
41,1007770.0748251409
42,1013995.1294284865
43,1013989.5242415275
44,1013983.094585056
45,1011556.4360378269
46,1016387.5062462133
47,1017372.9099274201
48,1018750.5340894123
49,1018438.8822691255
50,1018433.984605572
51,1018429.571095045
52,1021581.8404238474
53,1019835.0963656958
54,1022243.9890320139
55,1022238.9598793371
56,1020826.813646348
57,1020820.0237048757
58,1020813.987076437
59,1020262.280027964
60,1019424.1108402985
61,1018252.2129283554
62,1020068.2702278226
63,1021103.5222528339
64,1021097.89398984
65,1021093.6491057754
66,1017003.6688399437
67,1021606.8918045807
68,1018963.9873588459
69,1030087.091945627
70,1033259.7090821535
71,1033253.6539397548
72,1033247.6531504507
73,1035752.3309657051
74,1042547.4096515146
75,1049107.8205598101
76,1048414.8226013735
77,1047971.3481077511
