,0
0,1000000.0
1,999997.2602259009
2,999992.4563060658
3,1000085.7791237403
4,999687.9051235394
5,1000119.1290269933
6,1000015.4425214203
7,1000918.5591061683
8,1000914.4558598705
9,1000910.6301419275
10,1001197.9240476256
11,1001374.2222694531
12,1001633.1263228809
13,1001782.2028562748
14,1000661.1400731783
15,1000655.7370883101
16,1000652.2728689148
17,1000820.5841150099
18,1000312.4783740982
19,999112.9031838466
20,998652.714134932
21,997550.211311456
22,997548.7763883567
23,997544.866593183
24,996976.8054597522
25,997876.3630791815
26,995135.6289523252
27,993023.7171004801
28,993569.4886378318
29,993568.4118879895
30,993568.3007429031
31,994268.0834698305
32,995054.8524561209
33,999367.106749036
34,1000464.323658621
35,1001941.8105191112
36,1001939.2385446398
37,1001936.2703083035
38,1002209.4781670421
39,1003620.5912323582
40,1003797.1665431625
41,1002556.6089839966
42,1005533.0363320191
43,1005529.9389014597
44,1005526.812091334
45,1004331.1168781063
46,1006569.6581134705
47,1006335.9765818432
48,1006907.9148059003
49,1007066.3283696774
50,1007061.7504883443
51,1007060.665253313
52,1008208.4464123325
53,1006919.0815490482
54,1008820.006300666
55,1008819.392949444
56,1008164.6685603997
57,1008162.2003423659
58,1008160.5188507118
59,1008210.6398931107
60,1007618.1545279501
61,1007892.9075826664
62,1007894.9631739939
63,1008568.511442584
64,1008562.4838103878
65,1008558.823225724
66,1006059.4167561651
67,1007662.8514723788
68,1006693.8819968947
69,1015600.6983834426
70,1017044.4451507573
71,1017040.9683871364
72,1017036.3818138042
73,1019983.8124650504
74,1023732.8585155844
75,1026385.5493375651
76,1026757.8293336806
77,1027150.3846750465
